bt;Beta_pois;Dist_km;heterog
0.428571429;OS;15.8113883;1.011902375
0.375;OS;8.062257748;0.032207444
0.375;OS;21.09502311;0.208506678
0.666666667;OS;21.09502311;0.247784631
0.375;OS;15.03329638;0.30003328
0.5;OS;13;1.043008858
0.833333333;OS;14.2126704;0.100419658
0.5;OS;13.89244399;1.036065526
0.428571429;OS;20.61552813;1.040133685
0.363636364;OS;8.062257748;0.33767634
0.6;OS;9.219544457;1.003621233
0.777777778;OS;9.433981132;1.01732576
0.625;OS;20.61552813;1.001444046
0.25;OS;27.07397274;1.00431874
0.428571429;OS;27.78488798;1.010499038
0.75;OS;22.47220505;0.14167819
0.454545455;OS;18.11077028;1.001474605
0.5;OS;29;2.003374894
0.571428571;OS;30.08321791;2.004311656
0.615384615;OS;22.02271555;1.016594019
0.666666667;OS;7.280109889;0.069566609
0.625;OS;15.62049935;0.240714122
0.5;OS;19.23538406;0.279992075
0.666666667;OS;18.35755975;0.332240724
0.777777778;OS;13.34166406;1.05261529
0.7;OS;10.44030651;0.132627102
0;OS;19.84943324;1.04495188
0.4;OS;21.21320344;1.049450952
0.5;OS;12.72792206;0.369883784
0.75;OS;6.32455532;1.006866297
0.833333333;OS;9.899494937;0.039277953
0.142857143;OS;19.41648784;0.091526602
0.6;OS;13.03840481;1.003857331
0.8;OS;7.280109889;0.10808702
0.6;OS;25.01999201;1.001949743
0.75;OS;15.8113883;1.003009208
0.444444444;OS;19.23538406;0.129169662
0.666666667;OS;21.63330765;1.007576074
0.6;OS;12.36931688;0.052248649
0.666666667;OS;8.485281374;1.001182219
0.444444444;OS;9;0.147364973
0;OS;18.97366596;1.000269045
0.666666667;OS;6.32455532;1.00073543
0.5;OS;15.62049935;0.089891709
0.666666667;OS;25.49509757;1.013133933
0.5;OS;6.708203932;1.000006512
0.666666667;OS;13.41640786;0.199613622
0.5;OS;6.708203932;1.000421871
0.666666667;OS;7.810249676;1.000096459
0.357142857;OS;7;0.03764306
0.75;OS;23.08679276;1.022820642
0.777777778;OS;6.708203932;1.019027916
1;OS;12;2.000161811
0.666666667;OS;8;2.000026425
0.666666667;OS;7.211102551;1.000850496
0.5;OS;19.02629759;0.211244799
0.25;OS;18.24828759;1.014441643
0.8;OS;12.52996409;1.017100453
0.736842105;OS;12.04159458;0.237256682
0.8;OS;16.76305461;1.000116122
0.333333333;OS;14.4222051;0.015160486
0.625;OS;7.211102551;1.002221535
0.5;OS;23.02172887;2.008612173
0.416666667;OS;13.41640786;1.001326938
0.5;OS;27.01851217;2.010071252
0.625;OS;16.55294536;1.031384777
0.75;WN;15.8113883;1.011902375
0.722222222;WN;8.062257748;0.032207444
0.642857143;WN;21.09502311;0.208506678
0.941176471;WN;21.09502311;0.247784631
0.75;WN;15.03329638;0.30003328
0.9;WN;13;1.043008858
0.956521739;WN;14.2126704;0.100419658
0.769230769;WN;13.89244399;1.036065526
0.692307692;WN;20.61552813;1.040133685
0.708333333;WN;8.062257748;0.33767634
0.882352941;WN;9.219544457;1.003621233
0.913043478;WN;9.433981132;1.01732576
0.833333333;WN;20.61552813;1.001444046
0.823529412;WN;27.07397274;1.00431874
0.826086957;WN;27.78488798;1.010499038
0.909090909;WN;22.47220505;0.14167819
0.7;WN;18.11077028;1.001474605
0.875;WN;29;2.003374894
0.8125;WN;30.08321791;2.004311656
0.821428571;WN;22.02271555;1.016594019
0.894736842;WN;7.280109889;0.069566609
0.857142857;WN;15.62049935;0.240714122
0.85;WN;19.23538406;0.279992075
0.846153846;WN;18.35755975;0.332240724
0.92;WN;13.34166406;1.05261529
0.884615385;WN;10.44030651;0.132627102
0.764705882;WN;19.84943324;1.04495188
0.842105263;WN;21.21320344;1.049450952
0.714285714;WN;12.72792206;0.369883784
0.956521739;WN;6.32455532;1.006866297
0.944444444;WN;9.899494937;0.039277953
0.7;WN;19.41648784;0.091526602
0.904761905;WN;13.03840481;1.003857331
0.958333333;WN;7.280109889;0.10808702
0.866666667;WN;25.01999201;1.001949743
0.875;WN;15.8113883;1.003009208
0.814814815;WN;19.23538406;0.129169662
0.888888889;WN;21.63330765;1.007576074
0.913043478;WN;12.36931688;0.052248649
0.952380952;WN;8.485281374;1.001182219
0.736842105;WN;9;0.147364973
0.857142857;WN;18.97366596;1.000269045
0.9375;WN;6.32455532;1.00073543
0.851851852;WN;15.62049935;0.089891709
0.944444444;WN;25.49509757;1.013133933
0.925925926;WN;6.708203932;1.000006512
0.892857143;WN;13.41640786;0.199613622
0.85;WN;6.708203932;1.000421871
0.909090909;WN;7.810249676;1.000096459
0.689655172;WN;7;0.03764306
0.96;WN;23.08679276;1.022820642
0.923076923;WN;6.708203932;1.019027916
1;WN;12;2.000161811
0.833333333;WN;8;2.000026425
0.870967742;WN;7.211102551;1.000850496
0.904761905;WN;19.02629759;0.211244799
0.842105263;WN;18.24828759;1.014441643
0.904761905;WN;12.52996409;1.017100453
0.84375;WN;12.04159458;0.237256682
0.958333333;WN;16.76305461;1.000116122
0.846153846;WN;14.4222051;0.015160486
0.884615385;WN;7.211102551;1.002221535
0.866666667;WN;23.02172887;2.008612173
0.695652174;WN;13.41640786;1.001326938
0.875;WN;27.01851217;2.010071252
0.896551724;WN;16.55294536;1.031384777
0.321428571;ST;15.8113883;1.011902375
0.347222222;ST;8.062257748;0.032207444
0.267857143;ST;21.09502311;0.208506678
0.274509804;ST;21.09502311;0.247784631
0.375;ST;15.03329638;0.30003328
0.4;ST;13;1.043008858
0.123188406;ST;14.2126704;0.100419658
0.269230769;ST;13.89244399;1.036065526
0.263736264;ST;20.61552813;1.040133685
0.34469697;ST;8.062257748;0.33767634
0.282352941;ST;9.219544457;1.003621233
0.1352657;ST;9.433981132;1.01732576
0.208333333;ST;20.61552813;1.001444046
0.573529412;ST;27.07397274;1.00431874
0.397515528;ST;27.78488798;1.010499038
0.159090909;ST;22.47220505;0.14167819
0.245454545;ST;18.11077028;1.001474605
0.375;ST;29;2.003374894
0.241071429;ST;30.08321791;2.004311656
0.206043956;ST;22.02271555;1.016594019
0.228070175;ST;7.280109889;0.069566609
0.232142857;ST;15.62049935;0.240714122
0.35;ST;19.23538406;0.279992075
0.179487179;ST;18.35755975;0.332240724
0.142222222;ST;13.34166406;1.05261529
0.184615385;ST;10.44030651;0.132627102
0.764705882;ST;19.84943324;1.04495188
0.442105263;ST;21.21320344;1.049450952
0.214285714;ST;12.72792206;0.369883784
0.206521739;ST;6.32455532;1.006866297
0.111111111;ST;9.899494937;0.039277953
0.557142857;ST;19.41648784;0.091526602
0.304761905;ST;13.03840481;1.003857331
0.158333333;ST;7.280109889;0.10808702
0.266666667;ST;25.01999201;1.001949743
0.125;ST;15.8113883;1.003009208
0.37037037;ST;19.23538406;0.129169662
0.222222222;ST;21.63330765;1.007576074
0.313043478;ST;12.36931688;0.052248649
0.285714286;ST;8.485281374;1.001182219
0.292397661;ST;9;0.147364973
0.857142857;ST;18.97366596;1.000269045
0.270833333;ST;6.32455532;1.00073543
0.351851852;ST;15.62049935;0.089891709
0.277777778;ST;25.49509757;1.013133933
0.425925926;ST;6.708203932;1.000006512
0.226190476;ST;13.41640786;0.199613622
0.35;ST;6.708203932;1.000421871
0.242424242;ST;7.810249676;1.000096459
0.332512315;ST;7;0.03764306
0.21;ST;23.08679276;1.022820642
0.145299145;ST;6.708203932;1.019027916
0;ST;12;2.000161811
0.166666667;ST;8;2.000026425
0.204301075;ST;7.211102551;1.000850496
0.404761905;ST;19.02629759;0.211244799
0.592105263;ST;18.24828759;1.014441643
0.104761905;ST;12.52996409;1.017100453
0.106907895;ST;12.04159458;0.237256682
0.158333333;ST;16.76305461;1.000116122
0.512820513;ST;14.4222051;0.015160486
0.259615385;ST;7.211102551;1.002221535
0.366666667;ST;23.02172887;2.008612173
0.278985507;ST;13.41640786;1.001326938
0.375;ST;27.01851217;2.010071252
0.271551724;ST;16.55294536;1.031384777
